id,uid,slug,abbreviation,displayName,shortDisplayName,name,nickname,location,color,alternateColor,isActive,isAllStar,league_marker,logos_0_href,logos_0_alt,logos_0_rel_0,logos_0_rel_1,logos_0_rel_joined,logos_0_rel_count,logos_0_width,logos_0_height,logos_1_href,logos_1_alt,logos_1_rel_0,logos_1_rel_1,logos_1_rel_joined,logos_1_rel_count,logos_1_width,logos_1_height,logos_2_href,logos_2_alt,logos_2_rel_0,logos_2_rel_1,logos_2_rel_joined,logos_2_rel_count,logos_2_width,logos_2_height,logos_3_href,logos_3_alt,logos_3_rel_0,logos_3_rel_1,logos_3_rel_2,logos_3_rel_joined,logos_3_rel_count,logos_3_width,logos_3_height,logos_count,links_0_language,links_0_rel_0,links_0_rel_1,links_0_rel_2,links_0_rel_joined,links_0_rel_count,links_0_href,links_0_text,links_0_shortText,links_0_isExternal,links_0_isPremium,links_0_isHidden,links_1_language,links_1_rel_0,links_1_rel_1,links_1_rel_2,links_1_rel_joined,links_1_rel_count,links_1_href,links_1_text,links_1_shortText,links_1_isExternal,links_1_isPremium,links_1_isHidden,links_2_language,links_2_rel_0,links_2_rel_1,links_2_rel_2,links_2_rel_joined,links_2_rel_count,links_2_href,links_2_text,links_2_shortText,links_2_isExternal,links_2_isPremium,links_2_isHidden,links_3_language,links_3_rel_0,links_3_rel_1,links_3_rel_2,links_3_rel_joined,links_3_rel_count,links_3_href,links_3_text,links_3_shortText,links_3_isExternal,links_3_isPremium,links_3_isHidden,links_4_language,links_4_rel_0,links_4_rel_1,links_4_rel_2,links_4_rel_joined,links_4_rel_count,links_4_href,links_4_text,links_4_shortText,links_4_isExternal,links_4_isPremium,links_4_isHidden,links_count,team_id,team_uid,team_slug,team_abbreviation,team_display_name,team_short_display_name,team_name,team_nickname,team_location,team_color,team_alternate_color,team_is_active,team_is_all_star,team_logos,team_logos_0_href,team_logos_0_alt,team_logos_0_rel_0,team_logos_0_rel_1,team_logos_0_rel_joined,team_logos_0_rel_count,team_logos_0_width,team_logos_0_height,team_logos_1_href,team_logos_1_alt,team_logos_1_rel_0,team_logos_1_rel_1,team_logos_1_rel_joined,team_logos_1_rel_count,team_logos_1_width,team_logos_1_height,team_logos_count
22.0,s:20~l:28~t:22,arizona-cardinals,ARI,Arizona Cardinals,Cardinals,Cardinals,Cardinals,Arizona,a40227,ffffff,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/ari.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/ari.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/ari/arizona-cardinals,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/ari/arizona-cardinals,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/ari/arizona-cardinals,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/ari,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/arizona-cardinals-tickets--sports-nfl-football/performer/40?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,s:20~l:28~t:1,atlanta-falcons,ATL,Atlanta Falcons,Falcons,Falcons,Falcons,Atlanta,a71930,000000,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/atl.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/atl.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/atl/atlanta-falcons,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/atl/atlanta-falcons,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/atl/atlanta-falcons,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/atl,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/atlanta-falcons-tickets--sports-nfl-football/performer/51?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,s:20~l:28~t:33,baltimore-ravens,BAL,Baltimore Ravens,Ravens,Ravens,Ravens,Baltimore,29126f,000000,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/bal.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/bal.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/bal/baltimore-ravens,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/bal/baltimore-ravens,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/bal/baltimore-ravens,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/bal,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/baltimore-ravens-tickets--sports-nfl-football/performer/60?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,s:20~l:28~t:2,buffalo-bills,BUF,Buffalo Bills,Bills,Bills,Bills,Buffalo,00338d,d50a0a,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/buf.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/buf.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/buf/buffalo-bills,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/buf/buffalo-bills,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/buf/buffalo-bills,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/buf,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/buffalo-bills-tickets--sports-nfl-football/performer/128?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,s:20~l:28~t:29,carolina-panthers,CAR,Carolina Panthers,Panthers,Panthers,Panthers,Carolina,0085ca,000000,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/car.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/car/carolina-panthers,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/car/carolina-panthers,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/car/carolina-panthers,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/car,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/carolina-panthers-tickets--sports-nfl-football/performer/144?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,s:20~l:28~t:3,chicago-bears,CHI,Chicago Bears,Bears,Bears,Bears,Chicago,0b1c3a,e64100,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/chi.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/chi.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/chi/chicago-bears,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/chi/chicago-bears,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/chi/chicago-bears,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/chi,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/chicago-bears-tickets--sports-nfl-football/performer/159?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,s:20~l:28~t:4,cincinnati-bengals,CIN,Cincinnati Bengals,Bengals,Bengals,Bengals,Cincinnati,fb4f14,000000,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/cin.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/cin.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/cin/cincinnati-bengals,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/cin/cincinnati-bengals,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/cin/cincinnati-bengals,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/cin,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/cincinnati-bengals-tickets--sports-nfl-football/performer/172?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,s:20~l:28~t:5,cleveland-browns,CLE,Cleveland Browns,Browns,Browns,Browns,Cleveland,472a08,ff3c00,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/cle.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/cle.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/cle/cleveland-browns,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/cle/cleveland-browns,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/cle/cleveland-browns,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/cle,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/cleveland-browns-tickets--sports-nfl-football/performer/181?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,s:20~l:28~t:6,dallas-cowboys,DAL,Dallas Cowboys,Cowboys,Cowboys,Cowboys,Dallas,002a5c,b0b7bc,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/dal.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/dal.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/dal/dallas-cowboys,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/dal/dallas-cowboys,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/dal/dallas-cowboys,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/dal,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/dallas-cowboys-tickets--sports-nfl-football/performer/214?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,s:20~l:28~t:7,denver-broncos,DEN,Denver Broncos,Broncos,Broncos,Broncos,Denver,0a2343,fc4c02,True,False,NFL,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,,full,default,full | default,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/den.png,,full,dark,full | dark,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,,full,scoreboard,full | scoreboard,2.0,500.0,500.0,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/den.png,,full,scoreboard,dark,full | scoreboard | dark,3.0,500.0,500.0,4.0,en-US,clubhouse,desktop,team,clubhouse | desktop | team,3.0,https://www.espn.com/nfl/team/_/name/den/denver-broncos,Clubhouse,Clubhouse,False,False,False,en-US,roster,desktop,team,roster | desktop | team,3.0,https://www.espn.com/nfl/team/roster/_/name/den/denver-broncos,Roster,Roster,False,False,False,en-US,stats,desktop,team,stats | desktop | team,3.0,https://www.espn.com/nfl/team/stats/_/name/den/denver-broncos,Statistics,Statistics,False,False,False,en-US,schedule,desktop,team,schedule | desktop | team,3.0,https://www.espn.com/nfl/team/schedule/_/name/den,Schedule,Schedule,False,False,False,en-US,tickets,desktop,team,tickets | desktop | team,3.0,https://www.vividseats.com/denver-broncos-tickets--sports-nfl-football/performer/234?wsUser=717,Tickets,Tickets,True,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
